intervals,P.MD,P.MDC,P.HD,P.HDC,C.MD,C.MDC,C.HD,C.HDC,B.MD,B.MDC,B.HD,B.HDC,group,HS.JI,HS.calculated,roughness,ratio.simplicity,harmonicity
0,3.13,2.94,3,3.06,3.81,3.75,3.44,3.56,3.13,3.19,2.88,3.06,Consonant,100,100,0.0014,0,1.5643
0.5,2.44,1.94,1.63,1.63,1.88,1.44,1.63,1.5,2,1.81,1.81,1.69,Microtone,6.1,1.5,0.3688,4.6439,0.9298
1,2.81,2.56,2,1.75,2.25,1.94,1.38,1.38,2.75,2.44,1.75,1.81,Dissonant,12.5,1.5,0.4839,3.9069,0.9419
1.5,1.94,1.94,1.63,1.88,1.81,1.81,1.38,1.44,1.63,1.81,1.38,1.63,Microtone,16.7,1.5,0.3835,3.3907,1.0016
2,2.75,2.81,2.63,2.19,2.69,2.88,1.94,1.94,2.63,2.67,2.25,2.13,Dissonant,22.2,1.4,0.2541,3.085,1.0943
2.5,1.81,1.56,2.25,2.31,1.56,1.56,1.63,2.19,1.56,1.63,2.06,2.13,Microtone,13.8,0.7,0.1646,2.6962,0.9792
3,3.06,2.56,3.13,3.06,2.69,2.38,3,2.63,2.63,2.44,3.13,2.75,Consonant,33.3,1.4,0.1117,2.3219,1.0035
3.5,1.81,2.06,2,2.25,1.94,2.13,1.69,2.38,2,2.06,1.81,2.13,Microtone,19.2,0.7,0.085,3.4352,0.9072
4,2.56,2.44,3.38,3.19,2.94,2.88,3.81,3.69,2.69,2.56,3.56,3.25,Consonant,40,1.4,0.0703,2,1.07
4.5,1.69,1.88,1.94,2.13,1.81,1.75,1.5,2.13,1.63,1.88,1.75,2.13,Microtone,16.9,1.4,0.0767,2.8074,0.9043
5,3.31,2.69,3.44,2.81,3.25,2.81,3.56,3.19,3.44,2.5,3.63,2.63,Consonant,50,1.3,0.0448,1.585,1.2521
5.5,1.56,1.88,1.75,2,1.81,2.06,1.5,1.94,1.56,2.06,1.81,1.94,Microtone,20.5,1.3,0.0822,3.3502,0.9905
6,2.31,2.06,3,2.63,2,2.13,2.56,2.56,2,2.13,3,2.56,Dissonant,31.4,0.7,0.0968,2.5646,0.9426
6.5,2,1.94,1.63,1.94,2,2.06,1.19,2.06,1.88,1.81,1.44,1.88,Microtone,14.8,0.6,0.0972,3.3147,0.9905
7,3,3.44,3.31,3,3.56,3.69,3.5,3.31,3,3.5,3.44,3.25,Consonant,66.7,66.7,0.0229,1,1.2521
7.5,2.06,2.06,2.13,2.13,1.8,1.81,1.69,1.81,1.81,2,1.81,1.94,Microtone,12.3,1.3,0.0921,3.1699,0.9043
8,3.06,2.13,3.06,2.69,2.88,2.06,2.81,2.44,2.94,2,3,2.69,Consonant,30,1.2,0.0935,2.3219,1.07
8.5,1.94,1.88,1.88,2.38,1.75,1.94,1.81,2.25,1.81,1.88,1.81,2.25,Microtone,14.1,1.2,0.0757,3.2297,0.9072
9,2.44,2.88,3.31,2.81,3.06,3,3.38,3.06,2.5,3,3.38,2.75,Consonant,46.7,0.6,0.0572,1.585,1.0035
9.5,1.75,1.88,2,2.5,1.44,1.63,1.75,1.81,1.63,1.81,1.88,2.25,Microtone,10.3,1.2,0.0795,2.4037,0.9792
10,1.81,2,2.5,1.94,2.06,2,2.25,2.25,1.88,1.94,2.38,2,Dissonant,28.9,0.6,0.1021,2.7459,1.0943
10.5,1.56,1.88,1.63,1.81,1.63,1.81,1.19,1.75,1.5,1.63,1.56,1.56,Microtone,13.6,0.6,0.153,3.0222,1.0016
11,1.88,1.75,1.94,2.06,1.88,1.81,1.56,1.75,2,1.81,1.75,1.88,Dissonant,18.3,0.6,0.2254,3,0.9419
11.5,1.56,1.5,1.44,1.75,1.63,1.63,1.06,1.63,1.56,1.69,1.38,1.56,Microtone,8.3,0.6,0.2057,3.7004,0.9298
12,2.94,3.13,2.94,3.19,3.56,3.38,3.5,3.63,3.06,3.25,3.06,3.13,Consonant,100,100,0.0021,0,1.5643